Product Type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Timestamp
Eyeliner,SKU-1002,22.21,In Stock,3,79.57,Teen,482,3,31,3,DHL,45.77,Supplier C,India,9457,19,2023.04,Pass,0.0182,Air,Route-28,5439.13,2024-06-12
Foundation,SKU-1010,93.49,In Stock,16,2449.48,Adult,472,4,62,4,USPS,47.37,Supplier B,China,7406,10,923.88,Fail,0.0233,Air,Route-44,7527.19,2024-06-12
Lipstick,SKU-1040,27.8,Out of Stock,1,64.4,Senior,346,7,97,7,UPS,11.88,Supplier B,India,6699,30,1872.73,Fail,0.024,Sea,Route-3,1886.09,2024-06-12
Foundation,SKU-1045,57.87,Pre-Order,5,542.4,Teen,357,7,93,2,UPS,24.53,Supplier A,China,4269,10,3443.72,Pass,0.0107,Road,Route-14,7813.93,2024-06-12
Lipstick,SKU-1044,34.13,In Stock,14,1016.56,Senior,135,8,97,8,USPS,21.65,Supplier A,China,1576,17,3698.25,Fail,0.0451,Air,Route-14,2879.19,2024-06-12
Eyeliner,SKU-1022,68.05,In Stock,17,1562.26,Teen,267,14,36,1,DHL,45.13,Supplier B,Mexico,3386,19,1538.63,Pass,0.0461,Road,Route-35,8394.47,2024-06-12
Blush,SKU-1016,44.94,In Stock,6,371.16,Adult,256,1,20,8,USPS,46.02,Supplier C,Germany,2094,23,4724.46,Fail,0.0442,Road,Route-12,5813.97,2024-06-12
Blush,SKU-1015,76.71,Pre-Order,17,1410.74,Adult,334,14,28,7,USPS,29.55,Supplier A,Mexico,357,14,1889.18,Fail,0.0475,Sea,Route-10,9674.43,2024-06-12
Lipstick,SKU-1031,48.54,Out of Stock,7,709.43,Senior,287,12,50,9,USPS,25.26,Supplier A,India,3070,25,2266.44,Pass,0.0383,Air,Route-5,2644.95,2024-06-12
Blush,SKU-1017,16.21,In Stock,4,92.44,Teen,102,8,48,9,USPS,6.87,Supplier B,Mexico,1554,17,4643.82,Pass,0.013,Air,Route-18,8421.31,2024-06-12
Blush,SKU-1000,57.25,In Stock,15,804.21,Adult,118,5,45,5,DHL,8.04,Supplier A,China,4556,12,841.06,Pass,0.017,Air,Route-24,2101.19,2024-06-12
Blush,SKU-1038,95.23,Pre-Order,5,430.96,Teen,79,1,1,9,FedEx,17.2,Supplier B,Germany,8484,16,3866.18,Fail,0.0354,Sea,Route-1,3369.28,2024-06-12
Blush,SKU-1030,32.56,Pre-Order,1,43.77,Teen,205,3,23,3,USPS,7.07,Supplier A,China,3008,4,951.58,Fail,0.0238,Air,Route-13,6881.13,2024-06-12
Blush,SKU-1049,68.74,In Stock,8,786.29,Adult,223,12,29,10,UPS,36.11,Supplier B,Germany,6250,5,1746.45,Fail,0.0087,Air,Route-46,505.43,2024-06-12
Blush,SKU-1032,73.53,Out of Stock,9,704.29,Adult,268,1,42,3,FedEx,10.68,Supplier A,India,6202,22,661.9,Fail,0.0372,Road,Route-20,9758.79,2024-06-12
Mascara,SKU-1033,93.35,Pre-Order,14,1519.24,Teen,230,5,32,7,UPS,40.91,Supplier A,China,9356,3,2674.58,Fail,0.1003,Air,Route-12,8288.27,2024-06-12
Mascara,SKU-1040,27.8,Pre-Order,12,430.77,Teen,158,1,29,8,FedEx,30.87,Supplier A,China,9350,15,4657.29,Fail,0.1101,Sea,Route-27,2629.16,2024-06-12
Foundation,SKU-1021,24.69,In Stock,17,994.28,Senior,240,8,73,9,FedEx,42.49,Supplier C,India,9161,7,1144.25,Fail,0.0213,Air,Route-11,1456.28,2024-06-12
Mascara,SKU-1032,73.53,Out of Stock,12,1251.93,Teen,452,10,34,3,USPS,13.26,Supplier B,China,1377,20,1901.64,Fail,0.154,Air,Route-31,7119.61,2024-06-12
Foundation,SKU-1031,48.54,In Stock,5,516.82,Teen,190,11,72,6,DHL,20.12,Supplier A,Germany,5687,13,2798.87,Fail,0.0062,Sea,Route-33,5188.71,2024-06-12
Blush,SKU-1016,44.94,In Stock,20,721.18,Teen,158,10,31,4,DHL,5.45,Supplier B,USA,4609,14,4256.61,Fail,0.0237,Road,Route-50,8650.99,2024-06-12
Lipstick,SKU-1046,55.69,Out of Stock,19,2558.01,Teen,401,2,77,1,FedEx,29.91,Supplier C,Germany,9311,1,3575.45,Fail,0.0381,Sea,Route-9,8907.21,2024-06-12
Blush,SKU-1023,21.71,In Stock,4,121.31,Adult,358,4,11,9,USPS,48.26,Supplier B,Germany,767,27,503.79,Pass,0.0212,Road,Route-34,2875.9,2024-06-12
Mascara,SKU-1025,65.65,In Stock,2,175.83,Senior,267,5,33,4,FedEx,36.69,Supplier A,USA,9152,6,865.47,Fail,0.1628,Sea,Route-48,5583.17,2024-06-12
Blush,SKU-1041,41.44,Pre-Order,3,117.74,Senior,240,10,3,1,DHL,40.98,Supplier C,India,9897,23,3906.63,Pass,0.0107,Road,Route-43,9392.88,2024-06-12
Blush,SKU-1019,51.77,Pre-Order,18,1328.34,Senior,253,12,7,4,UPS,44.0,Supplier B,India,5313,22,3765.27,Fail,0.0372,Air,Route-14,7546.49,2024-06-12
Lipstick,SKU-1030,32.56,Out of Stock,3,222.61,Senior,233,2,86,4,USPS,21.07,Supplier A,Germany,8906,21,2856.12,Fail,0.0388,Road,Route-17,9151.98,2024-06-12
Foundation,SKU-1040,27.8,Pre-Order,11,688.67,Teen,309,9,81,2,UPS,39.63,Supplier B,Mexico,8509,8,4091.15,Pass,0.0288,Road,Route-1,5963.81,2024-06-12
Eyeliner,SKU-1029,67.32,Pre-Order,7,437.63,Teen,323,3,47,1,FedEx,30.22,Supplier B,Mexico,5721,14,4517.8,Fail,0.0471,Sea,Route-20,8223.49,2024-06-12
Mascara,SKU-1038,95.23,In Stock,17,1669.41,Adult,292,10,23,7,UPS,33.45,Supplier A,China,5715,8,4499.13,Fail,0.1277,Road,Route-29,3198.99,2024-06-12
Lipstick,SKU-1043,95.24,In Stock,16,3268.27,Senior,325,3,75,7,DHL,20.69,Supplier C,USA,7464,18,654.3,Fail,0.0302,Air,Route-50,7624.85,2024-06-12
Lipstick,SKU-1038,95.23,Out of Stock,9,2101.94,Senior,22,4,97,10,FedEx,33.35,Supplier B,Germany,5192,13,4001.68,Fail,0.0089,Road,Route-9,4644.12,2024-06-12
Mascara,SKU-1011,75.45,In Stock,20,1663.22,Teen,279,12,5,4,USPS,39.86,Supplier B,India,4761,24,3354.68,Pass,0.1259,Road,Route-41,1090.81,2024-06-12
Eyeliner,SKU-1020,83.16,In Stock,7,860.13,Teen,354,6,12,9,UPS,40.01,Supplier C,Mexico,5005,22,2114.69,Pass,0.0026,Sea,Route-23,4163.13,2024-06-12
Blush,SKU-1048,61.2,Pre-Order,19,1008.05,Senior,326,8,21,3,DHL,27.2,Supplier A,USA,109,7,1795.35,Fail,0.0017,Sea,Route-6,8463.25,2024-06-12
Blush,SKU-1032,73.53,In Stock,17,1281.14,Senior,307,3,42,8,UPS,19.3,Supplier B,USA,9807,6,2501.5,Pass,0.0031,Air,Route-49,125.26,2024-06-12
Mascara,SKU-1000,57.25,In Stock,2,91.67,Adult,188,14,19,7,FedEx,27.18,Supplier A,China,4038,30,881.88,Pass,0.1696,Sea,Route-2,8431.02,2024-06-12
Lipstick,SKU-1013,53.88,Pre-Order,2,237.51,Senior,296,1,50,2,DHL,36.6,Supplier A,Mexico,4659,22,1376.7,Pass,0.0238,Sea,Route-20,9629.98,2024-06-12
Lipstick,SKU-1004,66.7,Out of Stock,17,2452.66,Senior,448,7,94,10,UPS,6.91,Supplier B,Germany,1146,9,4618.37,Pass,0.024,Air,Route-14,9808.46,2024-06-12
Blush,SKU-1020,83.16,Out of Stock,20,2291.61,Senior,316,7,40,8,DHL,41.04,Supplier C,Germany,9237,11,4078.47,Pass,0.0445,Air,Route-48,6878.69,2024-06-12
Lipstick,SKU-1030,32.56,In Stock,17,1108.78,Senior,227,2,91,10,USPS,24.24,Supplier B,Germany,9371,25,2838.05,Fail,0.0244,Road,Route-2,7335.47,2024-06-12
Blush,SKU-1032,73.53,Out of Stock,10,1102.91,Senior,177,10,39,9,USPS,15.34,Supplier C,India,6455,4,3858.33,Fail,0.0391,Air,Route-3,9242.61,2024-06-12
Mascara,SKU-1004,66.7,Out of Stock,13,1144.46,Senior,200,10,30,9,DHL,10.61,Supplier C,India,3201,6,3159.65,Fail,0.1476,Sea,Route-5,3426.05,2024-06-12
Blush,SKU-1013,53.88,Pre-Order,8,614.08,Teen,131,8,38,10,FedEx,30.24,Supplier A,India,4696,23,680.24,Pass,0.0441,Sea,Route-19,731.43,2024-06-12
Foundation,SKU-1038,95.23,Out of Stock,16,2669.08,Teen,297,10,53,2,USPS,43.27,Supplier B,Mexico,8477,11,3328.78,Pass,0.0436,Air,Route-35,4443.38,2024-06-12
Lipstick,SKU-1034,11.27,Out of Stock,20,394.78,Senior,484,12,53,5,USPS,11.59,Supplier B,India,5986,3,4742.34,Pass,0.0084,Road,Route-24,2782.91,2024-06-12
Mascara,SKU-1047,95.61,Out of Stock,17,1991.24,Teen,486,2,39,4,DHL,17.54,Supplier A,USA,5468,6,1364.33,Pass,0.0852,Air,Route-23,5272.04,2024-06-12
Lipstick,SKU-1032,73.53,Out of Stock,13,1709.48,Adult,318,4,89,4,FedEx,38.87,Supplier C,Mexico,6259,6,2622.68,Fail,0.0343,Road,Route-6,3564.93,2024-06-12
Lipstick,SKU-1038,95.23,Pre-Order,2,432.88,Adult,41,14,67,5,USPS,17.5,Supplier B,Germany,5268,22,1981.95,Fail,0.0232,Air,Route-13,6276.57,2024-06-12
Eyeliner,SKU-1036,18.64,Pre-Order,19,522.74,Adult,3,3,40,3,UPS,49.6,Supplier A,China,2524,18,3513.26,Pass,0.0242,Air,Route-35,8340.56,2024-06-12
Blush,SKU-1024,80.89,Out of Stock,13,1270.93,Senior,286,8,22,3,DHL,21.7,Supplier A,USA,6092,13,814.22,Pass,0.0396,Air,Route-16,9567.24,2024-06-12
Lipstick,SKU-1028,69.89,Pre-Order,5,750.14,Senior,87,8,75,10,DHL,6.19,Supplier A,China,6118,15,2355.82,Pass,0.038,Sea,Route-17,6241.35,2024-06-12
Lipstick,SKU-1048,61.2,In Stock,18,2595.92,Senior,487,10,95,1,UPS,33.72,Supplier B,USA,8557,22,4908.76,Fail,0.023,Sea,Route-40,9056.2,2024-06-12
Mascara,SKU-1027,24.1,In Stock,9,296.29,Adult,169,12,18,8,USPS,33.54,Supplier A,China,2041,25,3146.23,Fail,0.0579,Road,Route-41,8218.19,2024-06-12
Foundation,SKU-1026,29.52,In Stock,19,1142.97,Teen,310,2,74,5,USPS,26.87,Supplier B,China,3910,22,851.72,Fail,0.0133,Air,Route-13,2475.36,2024-06-12
Lipstick,SKU-1046,55.69,Out of Stock,20,1964.0,Senior,222,9,68,9,UPS,19.75,Supplier C,China,7825,27,4990.0,Pass,0.0108,Air,Route-8,291.93,2024-06-12
Eyeliner,SKU-1033,93.35,In Stock,10,1282.36,Teen,445,1,21,3,FedEx,21.85,Supplier C,USA,9536,12,1302.46,Pass,0.0484,Road,Route-17,403.43,2024-06-12
Lipstick,SKU-1034,11.27,Pre-Order,19,366.7,Adult,482,1,76,8,UPS,17.85,Supplier C,China,2339,6,3400.81,Fail,0.041,Road,Route-2,9995.18,2024-06-12
Foundation,SKU-1010,93.49,Out of Stock,5,1091.02,Adult,329,5,74,1,FedEx,14.2,Supplier A,China,6442,15,3936.03,Fail,0.0481,Road,Route-5,2330.68,2024-06-12
Blush,SKU-1009,61.93,Pre-Order,13,1185.19,Senior,433,11,35,7,DHL,33.95,Supplier B,Mexico,2273,29,4696.03,Fail,0.0429,Air,Route-3,7537.27,2024-06-12
Eyeliner,SKU-1004,66.7,Pre-Order,14,1215.51,Adult,374,6,11,8,UPS,17.81,Supplier B,Germany,9306,8,1913.62,Pass,0.003,Road,Route-14,8121.05,2024-06-12
Foundation,SKU-1032,73.53,In Stock,17,2455.23,Senior,103,2,95,3,USPS,21.7,Supplier A,Mexico,408,14,4686.75,Fail,0.0271,Air,Route-18,278.99,2024-06-12
Lipstick,SKU-1036,18.64,Out of Stock,8,264.43,Teen,138,8,93,8,FedEx,41.28,Supplier C,Germany,8560,14,3432.49,Pass,0.0382,Air,Route-18,9947.22,2024-06-12
Blush,SKU-1034,11.27,In Stock,13,217.86,Teen,88,11,7,6,FedEx,45.09,Supplier B,USA,3688,1,2271.79,Fail,0.0133,Air,Route-19,3460.89,2024-06-12
Blush,SKU-1007,10.24,Out of Stock,6,91.7,Senior,342,12,33,5,FedEx,37.6,Supplier A,China,4738,17,1328.53,Fail,0.0334,Sea,Route-40,5606.37,2024-06-12
Lipstick,SKU-1002,22.21,In Stock,10,451.01,Senior,220,2,70,3,DHL,45.8,Supplier C,India,7699,12,2870.64,Pass,0.0051,Air,Route-44,8848.77,2024-06-12
Mascara,SKU-1029,67.32,Out of Stock,18,1514.77,Senior,203,14,24,3,DHL,8.9,Supplier C,Germany,8315,19,3633.38,Pass,0.1031,Sea,Route-3,6572.44,2024-06-12
Foundation,SKU-1014,74.37,In Stock,1,154.29,Senior,71,2,97,9,UPS,35.81,Supplier A,Germany,5265,17,903.47,Fail,0.0479,Air,Route-6,3735.89,2024-06-12
Foundation,SKU-1045,57.87,Out of Stock,7,729.81,Teen,286,12,80,9,FedEx,45.89,Supplier C,Germany,2020,14,3933.96,Pass,0.0434,Road,Route-30,8025.24,2024-06-12
Blush,SKU-1001,90.71,In Stock,11,1399.28,Senior,462,13,6,4,DHL,49.04,Supplier B,China,7525,21,2582.83,Fail,0.0372,Air,Route-46,3029.1,2024-06-12
Eyeliner,SKU-1031,48.54,Pre-Order,16,640.62,Adult,324,5,12,9,UPS,24.61,Supplier A,India,5567,22,3126.08,Fail,0.0439,Road,Route-9,7851.16,2024-06-12
Eyeliner,SKU-1045,57.87,Out of Stock,17,1030.7,Adult,365,14,16,4,UPS,39.34,Supplier B,China,659,4,847.45,Fail,0.005,Air,Route-36,6411.31,2024-06-12
Blush,SKU-1016,44.94,Out of Stock,15,792.07,Teen,342,13,30,1,FedEx,5.45,Supplier B,Germany,1469,9,1118.89,Fail,0.0128,Road,Route-34,8739.54,2024-06-12
Mascara,SKU-1033,93.35,Pre-Order,15,1953.09,Adult,0,6,4,8,UPS,31.05,Supplier C,Germany,7244,4,974.96,Pass,0.1918,Air,Route-4,4459.73,2024-06-12
Eyeliner,SKU-1007,10.24,Out of Stock,17,181.14,Senior,433,5,2,4,USPS,47.99,Supplier A,Mexico,4656,24,3775.73,Pass,0.017,Sea,Route-28,5267.49,2024-06-12
Eyeliner,SKU-1021,24.69,In Stock,17,352.44,Senior,398,9,5,8,DHL,14.58,Supplier B,Mexico,291,27,634.42,Fail,0.004,Sea,Route-34,442.66,2024-06-12
Blush,SKU-1028,69.89,In Stock,20,2079.23,Senior,259,8,40,7,FedEx,30.56,Supplier A,Mexico,2736,29,561.81,Pass,0.0134,Road,Route-1,3911.97,2024-06-12
Lipstick,SKU-1035,92.43,In Stock,8,1616.8,Adult,39,9,52,3,FedEx,7.74,Supplier A,Germany,3624,25,4725.79,Fail,0.0072,Sea,Route-41,8123.86,2024-06-12
Mascara,SKU-1046,55.69,Out of Stock,10,539.96,Adult,159,10,8,9,FedEx,10.32,Supplier A,India,5590,4,4897.12,Fail,0.1629,Road,Route-9,9356.48,2024-06-12
Foundation,SKU-1020,83.16,Pre-Order,14,2500.27,Senior,430,4,64,8,USPS,27.62,Supplier A,India,8576,19,1123.25,Fail,0.0135,Air,Route-21,1904.15,2024-06-12
Blush,SKU-1037,12.42,Out of Stock,13,226.2,Adult,270,14,29,8,FedEx,32.3,Supplier A,Germany,680,29,4099.07,Pass,0.027,Road,Route-43,2369.96,2024-06-12
Eyeliner,SKU-1049,68.74,Out of Stock,4,290.11,Teen,435,11,22,1,FedEx,32.69,Supplier A,USA,7627,25,1565.35,Fail,0.0005,Road,Route-48,2049.62,2024-06-12
Mascara,SKU-1019,51.77,Out of Stock,16,946.53,Adult,201,11,45,1,DHL,42.5,Supplier A,China,4733,1,1607.34,Fail,0.0877,Air,Route-17,7699.31,2024-06-12
Eyeliner,SKU-1033,93.35,Pre-Order,17,1658.85,Teen,101,14,24,8,DHL,30.48,Supplier C,India,9269,21,3873.91,Pass,0.0335,Sea,Route-49,6196.1,2024-06-12
Blush,SKU-1034,11.27,In Stock,15,152.07,Adult,82,8,13,1,DHL,31.24,Supplier C,Mexico,317,10,2078.12,Fail,0.0264,Air,Route-37,1111.25,2024-06-12
Foundation,SKU-1045,57.87,Out of Stock,17,2333.13,Senior,414,8,61,4,USPS,31.69,Supplier C,India,8018,24,1588.47,Pass,0.04,Sea,Route-3,6194.18,2024-06-12
Foundation,SKU-1001,90.71,Pre-Order,1,181.43,Senior,258,3,51,4,DHL,9.57,Supplier C,Mexico,1304,19,763.76,Fail,0.0095,Sea,Route-40,9236.71,2024-06-12
Foundation,SKU-1036,18.64,Pre-Order,11,365.75,Teen,151,13,89,4,USPS,7.02,Supplier B,China,3713,23,3135.98,Fail,0.0395,Air,Route-31,2560.71,2024-06-12
Blush,SKU-1005,39.39,In Stock,9,415.5,Adult,461,3,1,2,UPS,30.99,Supplier A,China,4662,25,1165.11,Fail,0.0092,Road,Route-5,8292.48,2024-06-12
Lipstick,SKU-1036,18.64,Pre-Order,18,795.48,Senior,72,6,70,9,DHL,11.09,Supplier B,USA,1727,27,732.91,Pass,0.0184,Sea,Route-36,6752.6,2024-06-12
Lipstick,SKU-1037,12.42,Pre-Order,4,79.38,Teen,47,1,94,4,DHL,6.28,Supplier B,USA,3534,2,3161.37,Fail,0.0084,Road,Route-7,8817.62,2024-06-12
Blush,SKU-1048,61.2,In Stock,14,827.8,Adult,326,5,46,5,UPS,40.91,Supplier C,Mexico,9885,4,786.72,Pass,0.0316,Air,Route-50,3078.97,2024-06-12
Mascara,SKU-1030,32.56,Pre-Order,4,181.66,Senior,339,7,13,5,USPS,43.49,Supplier A,China,3200,5,3300.94,Pass,0.1347,Road,Route-47,7239.39,2024-06-12
Blush,SKU-1014,74.37,In Stock,14,1088.92,Teen,478,14,44,3,FedEx,7.51,Supplier A,China,2224,28,3278.23,Pass,0.0483,Air,Route-29,2478.84,2024-06-12
Eyeliner,SKU-1029,67.32,Pre-Order,18,1073.36,Senior,473,14,37,5,DHL,23.33,Supplier A,India,9302,5,3629.13,Pass,0.0473,Air,Route-45,4799.01,2024-06-12
Lipstick,SKU-1021,24.69,In Stock,20,930.01,Adult,89,3,79,4,UPS,25.87,Supplier B,China,535,20,4174.24,Fail,0.029,Air,Route-34,8394.22,2024-06-12
Foundation,SKU-1029,67.32,Pre-Order,6,759.0,Adult,386,4,53,10,USPS,49.09,Supplier B,India,3663,30,3518.0,Pass,0.0082,Sea,Route-19,8488.12,2024-06-12
Foundation,SKU-1035,92.43,In Stock,18,4080.57,Teen,428,8,57,3,UPS,9.03,Supplier A,India,3291,20,1377.47,Fail,0.0097,Sea,Route-44,6962.83,2024-06-12
Foundation,SKU-1032,73.53,Pre-Order,12,1361.36,Teen,42,5,78,5,UPS,25.85,Supplier B,Mexico,4217,13,2255.11,Fail,0.0472,Road,Route-29,7634.6,2024-06-12
Blush,SKU-1037,12.42,Out of Stock,17,275.85,Senior,245,1,9,1,UPS,31.98,Supplier C,China,4952,6,3456.04,Pass,0.0409,Sea,Route-29,2762.96,2024-06-12
Foundation,SKU-1037,12.42,In Stock,3,77.18,Senior,116,13,72,4,UPS,31.11,Supplier B,China,2730,11,879.53,Pass,0.0401,Sea,Route-23,261.82,2024-06-12
Foundation,SKU-1032,73.53,Pre-Order,9,1124.62,Senior,456,3,75,6,UPS,29.84,Supplier A,Mexico,7003,14,2073.36,Fail,0.0257,Road,Route-45,5744.57,2024-06-12
Mascara,SKU-1013,53.88,Out of Stock,14,919.08,Adult,310,2,10,8,USPS,7.5,Supplier A,USA,8525,6,2119.53,Fail,0.135,Air,Route-37,5925.74,2024-06-12
Mascara,SKU-1025,65.65,Out of Stock,19,1384.98,Teen,404,9,13,2,USPS,10.12,Supplier A,USA,8494,20,3160.51,Fail,0.1976,Sea,Route-36,1325.73,2024-06-12
Mascara,SKU-1048,61.2,In Stock,3,227.83,Senior,466,2,5,10,UPS,44.71,Supplier A,Germany,327,5,2196.56,Fail,0.0846,Air,Route-26,5226.75,2024-06-12
Eyeliner,SKU-1018,43.23,Out of Stock,19,811.97,Teen,241,3,17,2,USPS,49.91,Supplier A,Mexico,5859,21,3227.24,Fail,0.0451,Air,Route-50,6428.44,2024-06-12
Eyeliner,SKU-1013,53.88,In Stock,9,401.12,Senior,232,12,23,10,UPS,45.11,Supplier A,USA,7134,15,1945.48,Pass,0.0297,Air,Route-36,759.1,2024-06-12
Foundation,SKU-1028,69.89,In Stock,16,2143.04,Adult,267,8,93,6,DHL,13.85,Supplier C,India,5491,8,2481.89,Fail,0.0216,Air,Route-4,4452.75,2024-06-12
Blush,SKU-1001,90.71,Out of Stock,20,1689.98,Teen,220,2,28,10,FedEx,17.11,Supplier A,Germany,7598,3,2639.87,Pass,0.0428,Sea,Route-23,3442.2,2024-06-12
Blush,SKU-1026,29.52,Out of Stock,9,371.85,Adult,288,8,37,2,FedEx,12.85,Supplier C,Germany,5753,13,4393.55,Pass,0.0259,Sea,Route-45,9161.43,2024-06-12
Mascara,SKU-1004,66.7,In Stock,12,786.22,Teen,372,1,23,3,USPS,45.93,Supplier C,China,3558,16,3088.01,Pass,0.1032,Air,Route-37,9287.59,2024-06-12
Eyeliner,SKU-1039,80.91,In Stock,2,180.2,Teen,43,6,24,3,UPS,24.68,Supplier C,Germany,1584,7,3932.78,Pass,0.0101,Air,Route-42,8750.48,2024-06-12
Blush,SKU-1037,12.42,Out of Stock,1,15.09,Adult,440,6,1,4,FedEx,38.77,Supplier C,Mexico,8269,20,4596.0,Pass,0.0403,Road,Route-14,8145.86,2024-06-12
Mascara,SKU-1029,67.32,Out of Stock,7,645.66,Adult,11,3,29,4,UPS,36.11,Supplier A,USA,8723,7,2144.75,Fail,0.1748,Road,Route-11,1857.23,2024-06-12
Blush,SKU-1029,67.32,Out of Stock,10,782.71,Senior,287,10,43,10,UPS,11.48,Supplier C,Germany,1963,9,2849.57,Pass,0.0407,Road,Route-48,5151.88,2024-06-12
Eyeliner,SKU-1024,80.89,Pre-Order,12,1340.67,Adult,196,2,45,2,UPS,27.64,Supplier C,Germany,9416,13,2147.84,Pass,0.0441,Air,Route-3,4652.77,2024-06-12
Lipstick,SKU-1035,92.43,Out of Stock,5,1083.28,Teen,293,6,56,10,FedEx,47.88,Supplier B,India,5799,20,3257.59,Pass,0.0267,Sea,Route-28,5056.79,2024-06-12
Eyeliner,SKU-1040,27.8,In Stock,8,196.92,Adult,430,2,9,10,USPS,32.61,Supplier A,India,711,2,1112.22,Pass,0.0468,Air,Route-4,5409.3,2024-06-12
Foundation,SKU-1023,21.71,In Stock,9,439.82,Teen,57,2,96,1,DHL,32.31,Supplier B,China,2551,23,4757.54,Fail,0.0476,Road,Route-31,7493.83,2024-06-12
Mascara,SKU-1028,69.89,In Stock,13,1312.51,Teen,83,10,47,6,DHL,48.32,Supplier B,India,736,21,894.63,Fail,0.0633,Road,Route-48,5460.5,2024-06-12
Blush,SKU-1007,10.24,Out of Stock,15,127.92,Senior,274,8,39,5,USPS,17.98,Supplier C,Germany,9784,9,3170.59,Fail,0.0418,Sea,Route-28,4517.68,2024-06-12
Lipstick,SKU-1049,68.74,In Stock,9,1378.04,Senior,80,12,56,4,USPS,28.63,Supplier A,USA,5074,30,2334.89,Fail,0.0317,Road,Route-7,523.84,2024-06-12
Blush,SKU-1046,55.69,Pre-Order,20,1182.84,Adult,154,13,26,4,FedEx,47.37,Supplier A,USA,6323,10,4795.21,Pass,0.0398,Sea,Route-6,5210.84,2024-06-12
Blush,SKU-1029,67.32,Out of Stock,13,991.36,Adult,322,3,7,4,UPS,11.64,Supplier C,China,7458,12,1450.3,Fail,0.0015,Sea,Route-37,1854.64,2024-06-12
Foundation,SKU-1021,24.69,Out of Stock,19,984.58,Senior,126,1,80,4,FedEx,7.7,Supplier B,Germany,9469,11,805.29,Pass,0.0479,Sea,Route-29,4607.17,2024-06-12
Foundation,SKU-1026,29.52,Out of Stock,7,329.92,Teen,363,4,61,4,UPS,48.18,Supplier C,Germany,317,30,1124.52,Fail,0.0353,Air,Route-17,568.52,2024-06-12
Eyeliner,SKU-1017,16.21,Pre-Order,7,149.23,Adult,337,2,12,9,DHL,19.3,Supplier B,Mexico,4763,8,4800.74,Fail,0.021,Air,Route-40,3565.67,2024-06-12
Eyeliner,SKU-1012,22.79,In Stock,12,351.19,Teen,120,8,21,1,USPS,38.67,Supplier C,China,8298,28,2522.6,Pass,0.0351,Air,Route-13,9972.21,2024-06-12
Foundation,SKU-1033,93.35,Out of Stock,13,2355.73,Senior,152,3,55,9,USPS,33.82,Supplier C,India,6951,25,617.07,Fail,0.0391,Air,Route-23,4760.1,2024-06-12
Eyeliner,SKU-1035,92.43,Pre-Order,19,1969.99,Adult,120,10,48,4,DHL,5.02,Supplier A,India,3422,28,4296.16,Pass,0.0298,Road,Route-19,2150.35,2024-06-12
Mascara,SKU-1013,53.88,Pre-Order,1,63.19,Senior,274,1,48,5,UPS,33.9,Supplier A,Mexico,5144,8,2396.11,Pass,0.1102,Air,Route-50,3720.67,2024-06-12
Lipstick,SKU-1009,61.93,Out of Stock,5,597.36,Teen,319,14,95,4,UPS,36.72,Supplier C,Mexico,4964,25,3286.92,Fail,0.0345,Sea,Route-24,2616.17,2024-06-12
Foundation,SKU-1027,24.1,In Stock,17,700.4,Adult,234,9,99,7,DHL,22.82,Supplier B,USA,5418,6,1527.72,Fail,0.027,Air,Route-6,9853.53,2024-06-12
Foundation,SKU-1043,95.24,Out of Stock,3,686.16,Adult,303,2,92,6,UPS,48.7,Supplier B,Germany,7357,21,2659.11,Pass,0.0142,Sea,Route-28,5870.13,2024-06-12
Mascara,SKU-1029,67.32,In Stock,13,967.06,Adult,161,13,44,1,FedEx,9.59,Supplier B,Germany,3577,15,523.2,Pass,0.0649,Air,Route-30,1859.57,2024-06-12
Blush,SKU-1004,66.7,In Stock,18,1098.07,Teen,219,10,43,5,USPS,6.92,Supplier C,India,5604,8,3555.82,Fail,0.027,Air,Route-13,2996.39,2024-06-12
Mascara,SKU-1035,92.43,Out of Stock,18,2269.33,Senior,92,12,44,1,FedEx,5.94,Supplier A,Mexico,6651,16,4418.3,Pass,0.1848,Sea,Route-44,6299.85,2024-06-12
Lipstick,SKU-1010,93.49,Pre-Order,4,877.13,Adult,251,1,84,7,FedEx,39.29,Supplier B,India,5638,15,3529.06,Fail,0.0417,Air,Route-25,6381.19,2024-06-12
Blush,SKU-1049,68.74,Out of Stock,1,67.18,Teen,6,5,45,6,DHL,37.88,Supplier A,Germany,9581,15,1497.29,Fail,0.0457,Road,Route-30,8002.73,2024-06-12
Eyeliner,SKU-1047,95.61,In Stock,7,593.11,Teen,276,7,18,9,DHL,14.77,Supplier C,China,5212,1,3225.62,Pass,0.0384,Sea,Route-47,9489.49,2024-06-12
Lipstick,SKU-1007,10.24,In Stock,6,132.34,Adult,45,12,72,8,UPS,17.74,Supplier A,Mexico,4928,18,1902.9,Pass,0.0185,Air,Route-12,4888.82,2024-06-12
Foundation,SKU-1012,22.79,Out of Stock,6,288.61,Senior,12,6,81,6,UPS,8.93,Supplier B,India,3073,12,3717.55,Pass,0.008,Sea,Route-4,872.38,2024-06-12
